network_packet_size,network_packet_rate,network_protocol,hash_mismatch_rate,smart_contract_violation,transaction_latency_drift,device_activity_variance,vital_stats_stability,response_time_deviation,threat_label,trigger_reason
523,160.7,0,0.186,0,0.146,0.088,0.167,0.152,1,"hash_mismatch_rate, vital_stats_stability"
635,371.61,1,0.106,0,0.105,0.565,0.502,0.219,1,"network_packet_rate, network_protocol, hash_mismatch_rate, response_time_deviation"
534,169.99,0,0.048,1,0.124,0.491,0.349,0.276,1,"smart_contract_violation, vital_stats_stability, response_time_deviation"
1201,387.25,0,0.134,0,0.427,0.312,0.003,0.015,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
1247,396.16,1,0.197,1,0.207,0.927,0.241,0.305,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
887,61.37,0,0.021,1,0.038,0.376,0.301,0.482,1,"smart_contract_violation, vital_stats_stability, response_time_deviation"
297,268.61,1,0.146,0,0.049,0.259,0.079,0.131,1,"network_protocol, hash_mismatch_rate, vital_stats_stability"
1108,389.8,0,0.146,0,0.017,0.777,0.764,0.077,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance"
867,65.84,0,0.063,1,0.312,0.508,0.434,0.493,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1456,350.47,0,0.085,1,0.007,0.64,0.581,0.172,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
883,174.22,0,0.123,0,0.489,0.266,0.007,0.167,1,"hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
1108,255.33,0,0.113,1,0.28,0.778,0.894,0.449,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1443,354.77,0,0.097,0,0.272,0.103,0.351,0.117,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
922,307.18,1,0.137,1,0.292,0.016,0.095,0.297,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
202,103.54,1,0.161,0,0.479,0.728,0.721,0.199,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
1403,19.73,1,0.162,0,0.169,0.498,0.394,0.064,1,"network_packet_size, network_protocol, hash_mismatch_rate, vital_stats_stability"
610,320.89,1,0.113,0,0.499,0.381,0.844,0.05,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift"
724,343.02,1,0.139,0,0.269,0.094,0.432,0.305,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
316,360.09,1,0.116,0,0.25,0.186,0.128,0.457,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1089,314.53,1,0.033,1,0.497,0.207,0.098,0.123,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
307,354.94,1,0.046,1,0.437,0.52,0.589,0.188,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift"
760,207.1,1,0.133,1,0.175,0.578,0.851,0.3,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
480,199.03,1,0.128,1,0.452,0.205,0.003,0.465,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
255,295.34,1,0.092,1,0.136,0.364,0.047,0.34,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
1372,149.84,0,0.019,0,0.006,0.022,0.935,0.389,1,"network_packet_size, response_time_deviation"
1017,228.16,1,0.01,0,0.008,0.819,0.588,0.096,1,"network_protocol, device_activity_variance"
611,124.32,0,0.164,1,0.049,0.052,0.56,0.166,1,"hash_mismatch_rate, smart_contract_violation"
1285,8.29,1,0.07,1,0.29,0.737,0.689,0.418,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
911,472.59,0,0.047,1,0.222,0.117,0.658,0.214,1,"network_packet_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
916,163.08,0,0.087,1,0.425,0.699,0.722,0.278,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
566,370.55,1,0.096,1,0.403,0.729,0.957,0.338,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
558,436.72,0,0.061,0,0.281,0.278,0.221,0.193,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
1270,490.44,0,0.006,1,0.215,0.111,0.398,0.436,1,"network_packet_size, network_packet_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1229,183.42,0,0.101,1,0.427,0.63,0.543,0.052,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
1089,79.31,0,0.117,0,0.395,0.509,0.765,0.475,1,"hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1061,425.37,1,0.173,1,0.304,0.256,0.053,0.176,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
353,415.21,1,0.098,1,0.018,0.133,0.927,0.007,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation"
1357,45.22,1,0.102,0,0.487,0.319,0.247,0.392,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1422,105.0,1,0.143,1,0.468,0.308,0.952,0.038,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
300,410.61,1,0.194,1,0.413,0.865,0.514,0.22,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1218,400.94,1,0.154,1,0.218,0.656,0.779,0.499,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
244,207.25,1,0.043,0,0.019,0.88,0.814,0.358,1,"network_protocol, device_activity_variance, response_time_deviation"
273,69.43,1,0.151,0,0.004,0.883,0.538,0.211,1,"network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
1454,456.2,1,0.162,0,0.069,0.62,0.349,0.177,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, device_activity_variance, vital_stats_stability"
636,210.11,1,0.041,0,0.341,0.391,0.054,0.439,1,"network_protocol, transaction_latency_drift, vital_stats_stability, response_time_deviation"
718,112.53,1,0.153,0,0.311,0.778,0.771,0.247,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1410,360.94,1,0.042,0,0.244,0.817,0.189,0.371,1,"network_packet_size, network_packet_rate, network_protocol, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1107,61.0,0,0.116,0,0.446,0.672,0.403,0.186,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
951,423.09,0,0.154,0,0.155,0.0,0.561,0.176,1,"network_packet_rate, hash_mismatch_rate"
1402,246.83,0,0.07,1,0.053,0.86,0.386,0.117,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
614,103.7,0,0.151,1,0.244,0.334,0.404,0.28,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1200,222.68,1,0.023,0,0.066,0.698,0.406,0.075,1,"network_protocol, device_activity_variance"
423,39.57,0,0.126,0,0.106,0.755,0.617,0.349,1,"hash_mismatch_rate, device_activity_variance, response_time_deviation"
527,430.99,1,0.007,0,0.18,0.632,0.54,0.127,1,"network_packet_rate, network_protocol, device_activity_variance"
749,169.64,1,0.069,0,0.488,0.173,0.013,0.23,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
893,413.91,0,0.122,0,0.388,0.775,0.724,0.289,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
368,293.97,0,0.007,1,0.469,0.008,0.222,0.375,1,"smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1385,139.3,1,0.057,1,0.268,0.206,0.957,0.443,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
841,139.61,0,0.155,0,0.004,0.137,0.031,0.058,1,"hash_mismatch_rate, vital_stats_stability"
835,249.1,0,0.018,1,0.284,0.424,0.303,0.066,1,"smart_contract_violation, transaction_latency_drift, vital_stats_stability"
574,78.64,0,0.036,0,0.394,0.061,0.58,0.187,1,transaction_latency_drift
557,59.94,0,0.008,1,0.13,0.457,0.286,0.119,1,"smart_contract_violation, vital_stats_stability"
1280,141.95,0,0.088,1,0.387,0.339,0.044,0.402,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
240,220.99,1,0.167,1,0.25,0.945,0.3,0.23,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1262,191.28,0,0.008,0,0.314,0.412,0.426,0.087,1,"network_packet_size, transaction_latency_drift"
297,403.15,1,0.188,1,0.387,0.077,0.93,0.275,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
221,466.88,1,0.038,1,0.439,0.661,0.523,0.296,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
448,186.57,1,0.043,0,0.307,0.35,0.385,0.486,1,"network_protocol, transaction_latency_drift, vital_stats_stability, response_time_deviation"
391,100.01,1,0.14,0,0.136,0.91,0.143,0.162,1,"network_protocol, hash_mismatch_rate, device_activity_variance, vital_stats_stability"
1293,225.44,1,0.002,0,0.045,0.883,0.235,0.398,1,"network_packet_size, network_protocol, device_activity_variance, vital_stats_stability, response_time_deviation"
241,184.71,0,0.122,1,0.413,0.551,0.742,0.293,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1457,447.26,0,0.032,1,0.152,0.017,0.908,0.305,1,"network_packet_size, network_packet_rate, smart_contract_violation, response_time_deviation"
827,260.27,0,0.022,1,0.17,0.4,0.627,0.34,1,"smart_contract_violation, response_time_deviation"
1029,64.2,1,0.032,1,0.497,0.792,0.255,0.274,1,"network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1079,335.76,1,0.052,1,0.189,0.207,0.049,0.121,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
1259,155.02,1,0.13,0,0.403,0.461,0.748,0.474,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
695,106.86,0,0.035,0,0.447,0.954,0.871,0.17,1,"transaction_latency_drift, device_activity_variance"
870,144.79,1,0.148,0,0.19,0.716,0.954,0.205,1,"network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
484,81.54,0,0.191,1,0.474,0.001,0.364,0.072,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1347,220.15,1,0.093,0,0.253,0.41,0.325,0.2,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
233,76.76,1,0.151,1,0.327,0.768,0.901,0.388,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
298,86.74,1,0.06,0,0.134,0.683,0.575,0.159,1,"network_protocol, hash_mismatch_rate, device_activity_variance"
