network_packet_rate,sampling_latency,packet_loss_rate,smart_contract_violation,threat_label
228.33,45.67,0.018,0,0
323.53,119.09,0.003,0,0
252.33,54.37,0.013,0,0
284.05,105.79,0.011,0,0
221.4,64.37,0.006,0,0
302.48,52.97,0.009,0,0
238.72,99.74,0.002,0,0
156.07,55.1,0.013,0,0
302.71,23.94,0.015,0,0
277.91,59.37,0.015,0,0
185.74,89.87,0.009,0,0
257.99,64.64,0.008,0,0
169.18,28.96,0.014,0,0
208.45,110.04,0.002,0,0
181.87,117.6,0.002,0,0
158.02,64.44,0.016,0,0
327.75,60.96,0.017,0,0
240.24,67.04,0.004,0,0
296.86,117.55,0.013,0,0
239.58,21.04,0.004,0,0
203.41,60.75,0.009,0,0
334.65,23.84,0.017,0,0
215.47,63.59,0.011,0,0
346.97,39.65,0.011,0,0
229.16,99.14,0.002,0,0
208.46,25.8,0.017,0,0
293.2,102.33,0.005,0,0
291.85,117.52,0.003,0,0
188.81,63.63,0.006,0,0
257.25,53.27,0.002,0,0
224.94,74.54,0.0,0,0
255.31,25.17,0.019,0,0
191.95,33.06,0.016,0,0
157.04,81.41,0.0,0,0
321.84,50.21,0.016,0,0
278.74,111.85,0.008,0,0
298.13,108.91,0.017,0,0
316.19,109.55,0.018,0,0
300.62,105.99,0.006,0,0
181.28,91.63,0.012,0,0
310.14,102.77,0.014,0,0
327.4,68.12,0.004,0,0
173.76,55.95,0.016,0,0
194.04,57.62,0.018,0,0
283.28,105.99,0.016,0,0
227.38,64.96,0.008,0,0
213.47,85.88,0.011,0,0
161.02,102.31,0.018,0,0
237.71,109.87,0.016,0,0
249.56,27.61,0.018,0,0
206.94,39.3,0.011,0,0
232.35,113.05,0.003,0,0
187.88,87.66,0.013,0,0
247.31,115.16,0.012,0,0
168.06,106.09,0.008,0,0
173.36,57.02,0.004,0,0
172.31,27.82,0.013,0,0
202.72,29.43,0.01,0,0
267.56,105.57,0.018,0,0
295.29,23.15,0.014,0,0
273.32,78.64,0.014,0,0
335.64,112.93,0.015,0,0
230.5,52.83,0.007,0,0
327.56,37.39,0.001,0,0
314.9,118.79,0.018,0,0
246.05,28.17,0.01,0,0
315.73,21.76,0.007,0,0
313.46,107.13,0.002,0,0
179.9,61.74,0.014,0,0
196.05,23.29,0.0,0,0
300.59,46.31,0.004,0,0
246.52,74.23,0.019,0,0
331.39,95.53,0.015,0,0
188.47,51.76,0.019,0,0
187.86,33.09,0.018,0,0
217.42,81.38,0.007,0,0
299.42,47.72,0.005,0,0
168.78,59.77,0.004,0,0
172.1,98.08,0.017,0,0
233.02,34.02,0.003,0,0
342.64,95.58,0.005,0,0
257.68,81.19,0.009,0,0
282.01,75.24,0.014,0,0
315.97,99.96,0.006,0,0
228.35,96.32,0.006,0,0
273.08,57.8,0.012,0,0
290.19,21.29,0.007,0,0
244.74,83.93,0.014,0,0
282.97,95.9,0.009,0,0
173.58,98.7,0.011,0,0
232.24,87.8,0.012,0,0
303.6,43.48,0.014,0,0
153.22,110.85,0.001,0,0
169.79,71.33,0.011,0,0
217.44,82.5,0.017,0,0
325.37,101.86,0.01,0,0
229.29,84.5,0.006,0,0
248.71,24.04,0.014,0,0
296.55,27.21,0.012,0,0
279.37,52.07,0.002,0,0
179.7,24.04,0.012,0,0
154.44,96.56,0.012,0,0
194.77,23.84,0.019,0,0
342.06,52.12,0.002,0,0
339.41,118.57,0.01,0,0
332.57,24.81,0.018,0,0
236.21,105.68,0.008,0,0
273.72,113.9,0.008,0,0
231.17,47.87,0.008,0,0
226.31,85.76,0.005,0,0
212.84,113.03,0.009,0,0
234.34,43.18,0.013,0,0
340.41,113.04,0.016,0,0
289.83,89.72,0.012,0,0
173.4,117.24,0.011,0,0
232.23,25.1,0.018,0,0
219.71,84.74,0.017,0,0
290.34,43.81,0.001,0,0
218.66,84.17,0.019,0,0
346.2,71.75,0.016,0,0
254.61,91.25,0.011,0,0
270.23,108.0,0.014,0,0
234.51,75.62,0.019,0,0
245.19,62.7,0.003,0,0
257.46,64.01,0.014,0,0
348.58,38.93,0.016,0,0
191.43,47.03,0.007,0,0
240.98,118.64,0.019,0,0
280.43,39.28,0.01,0,0
333.97,78.79,0.007,0,0
317.05,84.4,0.015,0,0
259.15,96.13,0.013,0,0
248.2,83.41,0.005,0,0
327.06,97.74,0.008,0,0
267.41,69.21,0.01,0,0
293.27,23.63,0.02,0,0
313.94,108.53,0.003,0,0
268.09,80.43,0.013,0,0
217.93,116.38,0.008,0,0
287.32,109.12,0.002,0,0
227.35,42.52,0.0,0,0
160.94,58.43,0.001,0,0
264.72,28.83,0.019,0,0
281.91,88.09,0.007,0,0
209.81,94.04,0.001,0,0
158.08,74.7,0.012,0,0
192.63,72.45,0.011,0,0
248.65,100.83,0.018,0,0
251.3,49.31,0.002,0,0
310.74,110.62,0.008,0,0
332.74,67.56,0.012,0,0
172.85,81.52,0.007,0,0
331.05,71.5,0.017,0,0
276.04,35.36,0.002,0,0
242.0,45.16,0.006,0,0
315.08,78.27,0.017,0,0
321.02,49.21,0.015,0,0
316.78,41.68,0.015,0,0
264.06,94.6,0.0,0,0
347.41,97.28,0.017,0,0
253.32,35.55,0.014,0,0
152.53,59.86,0.016,0,0
300.45,21.76,0.009,0,0
299.77,84.93,0.013,0,0
171.02,31.77,0.002,0,0
225.45,83.07,0.008,0,0
284.75,118.42,0.019,0,0
173.79,58.77,0.02,0,0
256.81,42.73,0.006,0,0
223.94,103.25,0.008,0,0
198.78,32.52,0.006,0,0
316.24,58.51,0.008,0,0
233.77,109.26,0.01,0,0
792.83,403.17,0.107,1,1
159.66,63.46,0.003,0,0
154.59,117.39,0.012,0,0
223.06,114.44,0.006,0,0
150.96,51.89,0.012,0,0
245.89,97.57,0.02,0,0
344.48,28.31,0.011,0,0
297.24,107.12,0.019,0,0
214.22,26.1,0.011,0,0
229.25,64.44,0.008,0,0
201.04,22.22,0.015,0,0
310.16,90.88,0.016,0,0
160.59,91.0,0.017,0,0
192.24,104.41,0.001,0,0
150.83,113.92,0.007,0,0
345.09,43.47,0.011,0,0
264.83,99.66,0.019,0,0
338.11,38.97,0.002,0,0
150.82,51.38,0.017,0,0
206.05,80.56,0.019,0,0
179.36,75.41,0.011,0,0
212.62,83.94,0.003,0,0
156.38,78.2,0.017,0,0
335.61,81.88,0.019,0,0
214.91,75.72,0.011,0,0
158.06,81.98,0.019,0,0
176.29,98.1,0.011,0,0
331.09,63.35,0.02,0,0
207.62,48.46,0.007,0,0
238.42,49.7,0.017,0,0
260.41,67.88,0.015,0,0
293.18,103.8,0.01,0,0
157.64,23.94,0.015,0,0
198.25,58.59,0.018,0,0
264.75,84.02,0.012,0,0
193.13,112.23,0.017,0,0
226.52,62.78,0.012,0,0
215.73,68.61,0.003,0,0
291.95,114.75,0.003,0,0
188.51,55.13,0.001,0,0
266.82,115.52,0.001,0,0
266.9,118.82,0.013,0,0
217.08,70.59,0.002,0,0
157.93,29.23,0.002,0,0
274.26,29.5,0.003,0,0
262.57,79.32,0.007,0,0
158.21,23.49,0.008,0,0
226.0,49.33,0.006,0,0
298.65,59.56,0.017,0,0
161.31,103.86,0.011,0,0
255.82,57.65,0.018,0,0
216.49,67.09,0.009,0,0
201.52,76.85,0.013,0,0
227.37,41.14,0.009,0,0
234.98,100.87,0.005,0,0
336.88,34.72,0.01,0,0
231.82,40.01,0.019,0,0
210.74,101.09,0.01,0,0
296.72,28.87,0.009,0,0
314.08,20.32,0.018,0,0
167.02,39.11,0.002,0,0
321.83,48.29,0.001,0,0
289.02,73.02,0.018,0,0
198.18,50.69,0.016,0,0
324.55,62.6,0.005,0,0
294.72,26.4,0.019,0,0
208.75,73.66,0.001,0,0
328.11,64.38,0.002,0,0
306.16,115.32,0.011,0,0
193.76,42.23,0.002,0,0
236.76,26.5,0.02,0,0
311.48,69.76,0.0,0,0
281.53,114.36,0.007,0,0
190.74,50.6,0.003,0,0
159.18,99.77,0.007,0,0
178.74,114.38,0.009,0,0
192.08,49.23,0.003,0,0
292.88,40.4,0.004,0,0
194.27,99.35,0.006,0,0
166.36,42.63,0.009,0,0
255.62,22.42,0.002,0,0
156.56,111.41,0.015,0,0
162.51,97.09,0.01,0,0
256.04,20.17,0.016,0,0
216.41,78.78,0.019,0,0
193.07,21.26,0.005,0,0
301.87,86.68,0.002,0,0
308.62,114.12,0.019,0,0
283.33,94.03,0.019,0,0
263.66,48.73,0.017,0,0
327.76,29.53,0.019,0,0
235.7,99.24,0.008,0,0
252.83,95.35,0.014,0,0
276.16,62.13,0.008,0,0
260.75,60.11,0.017,0,0
153.79,36.55,0.017,0,0
208.59,119.87,0.019,0,0
161.91,78.54,0.006,0,0
194.56,99.72,0.016,0,0
218.38,38.76,0.009,0,0
237.97,114.03,0.011,0,0
313.59,83.77,0.02,0,0
179.28,45.91,0.004,0,0
245.41,91.02,0.009,0,0
233.1,36.89,0.003,0,0
348.52,51.0,0.007,0,0
228.74,115.95,0.005,0,0
260.43,79.36,0.001,0,0
208.89,83.04,0.01,0,0
229.37,108.95,0.016,0,0
341.03,73.67,0.01,0,0
286.09,30.84,0.016,0,0
153.06,101.08,0.0,0,0
219.27,105.58,0.02,0,0
321.23,46.31,0.003,0,0
253.85,42.17,0.007,0,0
187.59,63.63,0.004,0,0
309.91,110.76,0.016,0,0
331.3,112.61,0.002,0,0
230.39,39.38,0.007,0,0
201.85,22.29,0.007,0,0
249.54,100.64,0.006,0,0
331.91,30.47,0.009,0,0
324.61,76.06,0.012,0,0
242.26,90.53,0.016,0,0
253.75,31.18,0.019,0,0
311.02,20.38,0.018,0,0
284.41,97.99,0.002,0,0
244.87,79.84,0.005,0,0
179.48,86.21,0.015,0,0
171.72,91.38,0.008,0,0
299.63,72.45,0.015,0,0
202.07,27.83,0.007,0,0
168.96,33.17,0.0,0,0
287.96,65.46,0.002,0,0
174.81,94.42,0.002,0,0
237.13,37.19,0.008,0,0
221.0,113.87,0.013,0,0
245.42,69.3,0.014,0,0
272.18,69.55,0.009,0,0
228.74,79.81,0.01,0,0
321.89,103.99,0.006,0,0
307.96,43.38,0.018,0,0
342.57,45.21,0.008,0,0
166.91,109.06,0.018,0,0
226.89,21.92,0.017,0,0
299.54,70.7,0.008,0,0
211.5,78.67,0.014,0,0
318.73,32.19,0.008,0,0
280.97,60.07,0.014,0,0
337.36,85.54,0.014,0,0
327.48,100.42,0.007,0,0
284.86,52.21,0.016,0,0
229.27,52.02,0.01,0,0
221.55,108.12,0.007,0,0
252.94,99.74,0.014,0,0
252.67,24.4,0.015,0,0
237.28,72.88,0.012,0,0
195.61,62.73,0.008,0,0
322.49,57.13,0.005,0,0
178.54,27.87,0.003,0,0
324.11,42.95,0.017,0,0
251.33,55.99,0.004,0,0
281.28,62.2,0.008,0,0
278.65,24.18,0.016,0,0
199.17,31.22,0.012,0,0
193.94,108.2,0.001,0,0
323.25,87.62,0.014,0,0
255.87,106.34,0.019,0,0
245.57,94.6,0.01,0,0
305.11,73.7,0.015,0,0
273.6,48.12,0.016,0,0
285.45,94.61,0.011,0,0
157.91,32.24,0.01,0,0
280.29,93.17,0.012,0,0
308.58,71.12,0.004,0,0
312.2,27.27,0.005,0,0
256.69,101.96,0.011,0,0
162.12,26.52,0.001,0,0
163.94,72.39,0.004,0,0
216.4,49.86,0.012,0,0
230.55,90.11,0.018,0,0
152.51,110.85,0.001,0,0
274.64,112.84,0.016,0,0
252.5,110.26,0.02,0,0
269.02,96.94,0.0,0,0
343.4,111.39,0.007,0,0
174.97,118.13,0.006,0,0
257.52,23.19,0.001,0,0
318.76,105.48,0.019,0,0
168.06,92.44,0.001,0,0
261.84,26.47,0.01,0,0
223.12,54.05,0.0,0,0
316.16,113.03,0.004,0,0
326.53,32.81,0.017,0,0
229.37,41.91,0.018,0,0
278.05,94.51,0.02,0,0
327.42,75.03,0.007,0,0
189.36,87.28,0.01,0,0
193.89,37.51,0.007,0,0
219.46,37.69,0.004,0,0
207.05,28.4,0.017,0,0
341.73,32.55,0.02,0,0
247.29,93.37,0.005,0,0
277.68,105.47,0.016,0,0
326.1,50.88,0.013,0,0
154.12,110.68,0.014,0,0
339.67,68.28,0.011,0,0
256.83,116.51,0.012,0,0
163.28,41.1,0.008,0,0
298.46,68.97,0.013,0,0
310.04,111.57,0.005,0,0
176.28,45.7,0.017,0,0
282.76,100.65,0.004,0,0
185.15,94.67,0.002,0,0
164.96,86.51,0.006,0,0
338.75,44.09,0.004,0,0
194.48,94.53,0.016,0,0
174.98,89.71,0.0,0,0
340.88,47.7,0.013,0,0
597.48,77.26,0.003,0,1
195.59,99.77,0.011,0,0
185.57,102.27,0.012,0,0
330.42,45.32,0.002,0,0
251.95,107.52,0.003,0,0
165.68,22.52,0.016,0,0
174.53,26.54,0.003,0,0
170.84,25.54,0.01,0,0
344.47,28.13,0.017,0,0
263.48,54.68,0.018,0,0
254.59,39.16,0.019,0,0
202.52,74.67,0.008,0,0
344.69,23.15,0.009,0,0
312.89,75.2,0.015,0,0
347.17,108.15,0.018,0,0
497.91,51.25,0.018,0,1
247.88,114.59,0.01,0,0
303.01,59.39,0.008,0,0
307.56,87.99,0.01,0,0
207.63,26.87,0.005,0,0
176.72,41.33,0.02,0,0
210.26,35.49,0.012,0,0
326.73,77.23,0.001,0,0
259.04,34.37,0.013,0,0
232.4,85.41,0.013,0,0
339.3,51.19,0.018,0,0
343.53,44.58,0.0,0,0
322.23,72.97,0.015,0,0
301.36,27.04,0.013,0,0
183.55,46.46,0.015,0,0
327.53,64.2,0.017,0,0
182.94,43.06,0.006,0,0
307.59,98.07,0.017,0,0
189.8,50.52,0.008,0,0
320.24,34.66,0.007,0,0
344.5,83.61,0.016,0,0
309.65,98.46,0.008,0,0
153.01,42.6,0.016,0,0
243.78,29.12,0.001,0,0
320.48,32.52,0.008,0,0
267.83,110.03,0.01,0,0
293.44,87.84,0.001,0,0
195.92,109.37,0.014,0,0
253.43,57.84,0.006,0,0
181.86,52.34,0.004,0,0
171.78,51.68,0.003,0,0
239.57,112.35,0.017,0,0
243.42,32.55,0.012,0,0
153.42,23.72,0.004,0,0
281.4,40.61,0.017,0,0
227.77,49.07,0.009,0,0
237.46,24.02,0.019,0,0
208.93,71.47,0.001,0,0
273.57,115.96,0.01,0,0
233.46,117.1,0.005,0,0
269.87,31.3,0.006,0,0
271.56,42.5,0.009,0,0
213.08,63.51,0.012,0,0
216.63,77.6,0.01,0,0
192.64,99.67,0.004,0,0
186.82,38.22,0.016,0,0
239.06,98.98,0.01,0,0
342.95,46.74,0.007,0,0
222.15,52.09,0.018,0,0
214.14,43.78,0.009,0,0
236.26,45.48,0.012,0,0
270.61,115.07,0.007,0,0
151.25,26.9,0.016,0,0
222.04,64.79,0.006,0,0
217.72,73.41,0.008,0,0
180.66,107.56,0.013,0,0
222.24,39.31,0.006,0,0
161.88,94.02,0.012,0,0
188.99,92.45,0.009,0,0
163.81,112.12,0.002,0,0
264.63,81.97,0.012,0,0
292.3,77.65,0.012,0,0
301.46,52.7,0.001,0,0
300.16,94.55,0.001,0,0
308.2,65.02,0.01,0,0
334.08,37.21,0.007,0,0
247.35,34.57,0.0,0,0
244.02,39.9,0.007,0,0
205.73,117.85,0.012,0,0
233.65,46.31,0.016,0,0
211.32,99.53,0.014,0,0
246.1,44.67,0.009,0,0
279.69,110.36,0.009,0,0
179.87,56.78,0.004,0,0
317.34,100.71,0.014,0,0
211.88,113.74,0.007,0,0
316.15,65.98,0.016,0,0
307.85,84.37,0.017,0,0
157.76,61.21,0.013,0,0
257.96,32.46,0.019,0,0
181.14,91.42,0.01,0,0
189.33,27.89,0.008,0,0
260.33,46.47,0.015,0,0
336.98,89.27,0.007,0,0
260.33,33.88,0.007,0,0
205.63,23.15,0.001,0,0
225.06,102.77,0.001,0,0
338.86,39.97,0.014,0,0
233.72,85.57,0.009,0,0
280.63,45.13,0.002,0,0
282.39,30.3,0.013,0,0
327.18,29.59,0.013,0,0
301.34,60.76,0.002,0,0
297.18,28.3,0.012,0,0
285.17,86.07,0.018,0,0
154.66,119.28,0.017,0,0
328.56,21.36,0.02,0,0
271.51,35.01,0.018,0,0
291.31,115.25,0.02,0,0
184.89,98.35,0.012,0,0
281.94,98.88,0.012,0,0
191.15,48.99,0.004,0,0
337.45,115.14,0.014,0,0
299.0,48.86,0.002,0,0
342.39,75.87,0.006,0,0
258.65,53.09,0.006,0,0
213.99,39.88,0.012,0,0
300.53,58.8,0.016,0,0
310.48,92.63,0.015,0,0
307.93,40.25,0.018,0,0
341.4,50.86,0.012,0,0
256.83,34.92,0.015,0,0
276.25,33.43,0.004,0,0
197.32,103.5,0.008,0,0
326.89,36.37,0.006,0,0
179.33,42.59,0.003,0,0
216.97,27.16,0.002,0,0
273.2,78.07,0.017,0,0
224.95,48.26,0.012,0,0
250.62,74.49,0.012,0,0
238.26,60.43,0.008,0,0
248.13,34.69,0.005,0,0
303.11,68.05,0.004,0,0
184.41,97.49,0.003,0,0
195.28,117.88,0.015,0,0
319.29,49.97,0.012,0,0
340.88,75.52,0.004,0,0
335.52,99.44,0.004,0,0
159.59,64.46,0.0,0,0
300.74,68.95,0.013,0,0
212.93,60.03,0.02,0,0
152.99,92.62,0.002,0,0
265.89,58.59,0.003,0,0
247.68,66.05,0.002,0,0
281.33,102.46,0.015,0,0
191.34,75.83,0.011,0,0
175.2,45.94,0.003,0,0
201.02,54.22,0.017,0,0
318.0,95.16,0.0,0,0
321.51,65.09,0.012,0,0
262.46,46.05,0.019,0,0
224.73,30.84,0.008,0,0
155.35,91.88,0.015,0,0
318.05,99.84,0.005,0,0
228.03,90.29,0.006,0,0
478.97,93.32,0.001,0,1
291.12,92.21,0.014,0,0
151.28,93.48,0.003,0,0
257.12,22.95,0.01,0,0
268.82,43.58,0.006,0,0
298.73,40.3,0.006,0,0
300.09,89.06,0.003,0,0
335.32,24.76,0.012,0,0
258.72,74.04,0.018,0,0
169.43,40.9,0.02,0,0
176.92,108.8,0.014,0,0
171.0,33.73,0.011,0,0
234.96,98.45,0.017,0,0
216.15,114.41,0.015,0,0
159.38,41.06,0.01,0,0
184.5,73.95,0.003,0,0
290.46,106.81,0.012,0,0
311.0,28.93,0.017,0,0
309.42,51.87,0.017,0,0
301.22,74.21,0.017,0,0
301.27,56.89,0.016,0,0
229.39,65.47,0.011,0,0
152.57,35.84,0.007,0,0
196.41,85.25,0.014,0,0
251.41,29.43,0.004,0,0
283.85,36.25,0.006,0,0
205.57,116.92,0.004,0,0
335.35,96.0,0.003,0,0
153.62,70.17,0.011,0,0
287.23,99.25,0.018,0,0
294.32,21.28,0.016,0,0
204.91,24.88,0.012,0,0
195.19,84.23,0.016,0,0
253.01,77.62,0.016,0,0
180.87,58.08,0.005,0,0
307.8,32.82,0.001,0,0
303.19,39.26,0.007,0,0
332.41,103.3,0.015,0,0
243.42,67.36,0.004,0,0
308.82,64.0,0.005,0,0
304.88,28.78,0.008,0,0
336.13,89.52,0.001,0,0
247.02,97.68,0.006,0,0
276.38,119.72,0.007,0,0
175.62,37.23,0.019,0,0
227.61,50.28,0.016,0,0
313.68,89.0,0.016,0,0
305.78,102.13,0.02,0,0
284.51,111.6,0.019,0,0
328.11,85.57,0.02,0,0
278.68,45.9,0.007,0,0
265.04,43.24,0.006,0,0
257.69,106.49,0.013,0,0
319.77,37.03,0.014,0,0
286.39,94.59,0.005,0,0
168.94,43.29,0.009,0,0
285.8,70.39,0.012,0,0
304.08,113.43,0.0,0,0
252.18,55.09,0.001,0,0
222.98,40.38,0.012,0,0
244.7,45.07,0.018,0,0
202.78,85.39,0.001,0,0
183.99,28.8,0.014,0,0
224.53,29.56,0.003,0,0
334.94,93.85,0.012,0,0
248.2,35.17,0.014,0,0
166.13,79.46,0.01,0,0
314.01,104.62,0.012,0,0
240.8,31.65,0.0,0,0
165.74,54.58,0.014,0,0
238.46,41.77,0.004,0,0
281.63,36.46,0.013,0,0
587.59,117.02,0.013,0,1
307.0,92.27,0.004,0,0
184.87,92.58,0.013,0,0
172.66,69.52,0.01,0,0
233.78,84.27,0.006,0,0
294.5,109.84,0.001,0,0
175.63,43.35,0.013,0,0
238.23,44.72,0.011,0,0
243.23,76.37,0.006,0,0
170.23,113.73,0.012,0,0
266.82,118.4,0.014,0,0
200.05,23.47,0.017,0,0
322.16,53.01,0.011,0,0
277.89,50.03,0.005,0,0
160.91,107.23,0.012,0,0
239.95,76.37,0.008,0,0
265.86,94.82,0.001,0,0
201.13,109.38,0.014,0,0
340.38,81.83,0.01,0,0
207.19,38.89,0.005,0,0
338.44,21.15,0.012,0,0
344.39,54.55,0.02,0,0
270.58,44.2,0.016,0,0
216.99,64.59,0.011,0,0
322.37,70.47,0.006,0,0
220.43,43.08,0.001,0,0
290.96,91.44,0.006,0,0
203.04,84.53,0.011,0,0
229.85,26.58,0.008,0,0
199.34,54.18,0.017,0,0
288.87,94.62,0.013,0,0
172.95,52.52,0.013,0,0
262.37,81.76,0.004,0,0
205.2,91.05,0.012,0,0
180.65,87.78,0.006,0,0
276.98,52.51,0.007,0,0
259.09,57.49,0.018,0,0
153.73,97.52,0.014,0,0
571.97,23.74,0.005,0,1
176.33,94.89,0.019,0,0
288.77,36.88,0.004,0,0
327.28,110.65,0.003,0,0
317.45,72.88,0.012,0,0
250.87,51.09,0.017,0,0
264.88,46.11,0.016,0,0
238.68,78.01,0.015,0,0
220.18,75.24,0.008,0,0
268.27,68.41,0.012,0,0
239.17,81.03,0.015,0,0
220.41,119.26,0.013,0,0
182.7,62.9,0.006,0,0
294.46,104.25,0.007,0,0
268.33,39.58,0.01,0,0
156.92,73.62,0.017,0,0
185.71,98.57,0.002,0,0
181.72,30.64,0.0,0,0
342.08,99.68,0.007,0,0
314.88,32.2,0.017,0,0
280.83,113.71,0.011,0,0
246.25,96.51,0.005,0,0
191.06,80.5,0.013,0,0
222.68,100.18,0.01,0,0
152.27,47.2,0.005,0,0
178.48,22.93,0.002,0,0
348.72,73.98,0.003,0,0
158.49,64.4,0.006,0,0
322.65,45.69,0.017,0,0
251.27,39.08,0.016,0,0
157.12,59.78,0.013,0,0
335.73,62.06,0.0,0,0
268.02,69.73,0.015,0,0
333.13,86.15,0.006,0,0
246.15,32.95,0.0,0,0
254.72,60.4,0.008,0,0
215.78,67.12,0.004,0,0
311.57,107.01,0.006,0,0
307.29,97.48,0.016,0,0
196.2,44.14,0.014,0,0
176.04,98.56,0.014,0,0
248.99,68.79,0.007,0,0
199.77,52.72,0.012,0,0
227.1,113.18,0.004,0,0
242.79,118.52,0.019,0,0
234.66,89.78,0.008,0,0
162.4,84.64,0.012,0,0
295.21,23.19,0.003,0,0
225.34,103.86,0.019,0,0
220.23,116.34,0.007,0,0
265.21,71.26,0.008,0,0
211.99,29.62,0.002,0,0
152.64,71.45,0.013,0,0
317.86,56.84,0.008,0,0
323.42,56.22,0.015,0,0
301.8,36.25,0.015,0,0
157.46,33.77,0.018,0,0
321.24,62.23,0.014,0,0
181.97,99.81,0.018,0,0
226.99,39.74,0.013,0,0
321.35,56.47,0.013,0,0
299.55,58.54,0.002,0,0
300.95,56.55,0.02,0,0
291.63,91.4,0.004,0,0
218.01,115.04,0.013,0,0
254.06,118.7,0.011,0,0
345.83,55.86,0.009,0,0
151.21,108.72,0.019,0,0
171.18,78.09,0.016,0,0
219.32,45.02,0.006,0,0
168.09,106.36,0.009,0,0
285.71,114.28,0.011,0,0
245.11,30.18,0.008,0,0
284.49,68.02,0.004,0,0
287.68,22.71,0.008,0,0
